"participant","group","trial_no","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"57c0b4480a58f600011a2264","younger",5,1,"GLASS","GLASS",TRUE,2.482,0,1,"crown","old-new",213
"57c0b4480a58f600011a2264","younger",5,2,"SYSTEM","SYSTEM",TRUE,3.583,1,2,"sunflower","new-new",213
"57c0b4480a58f600011a2264","younger",5,3,"THING","THING",TRUE,2.532,2,3,"bench","match",213
"57c0b4480a58f600011a2264","younger",5,4,"FLIGHT","FLIGHT",TRUE,3.699,3,4,"pawn","mis-match",213
"57c0b4480a58f600011a2264","younger",6,1,"SERIES","SERIES",TRUE,2.746,0,1,"helmet","new-new",214
"57c0b4480a58f600011a2264","younger",6,2,"DEMON","DEMON",TRUE,2.616,3,2,"diamond","new-new",214
"57c0b4480a58f600011a2264","younger",6,3,"BEAUTY","BEAUTY",TRUE,2.867,2,3,"taxi","new-new",214
"57c0b4480a58f600011a2264","younger",6,4,"CASINO","CASINO",TRUE,2.416,1,4,"carrot","new-new",214
"57c0b4480a58f600011a2264","younger",7,1,"ESTATE","ESTATE",TRUE,6.715,2,1,"tractor","new-new",215
"57c0b4480a58f600011a2264","younger",7,2,"BELT","BELT",TRUE,2.633,0,2,"stool","new-new",215
"57c0b4480a58f600011a2264","younger",7,3,"AREA","AREA",TRUE,2.098,1,3,"frame","new-new",215
"57c0b4480a58f600011a2264","younger",7,4,"AGENT","AGENT",TRUE,4.499,3,4,"salt","new-new",215
"57c0b4480a58f600011a2264","younger",8,1,"TOILET","TOILET",TRUE,3.33,0,1,"scissors","mis-match",216
"57c0b4480a58f600011a2264","younger",8,2,"WRITER","WRITER",TRUE,4.083,1,2,"rug","match",216
"57c0b4480a58f600011a2264","younger",8,3,"DOZEN","DOZEN",TRUE,2.767,2,3,"wheelbarrow","old-new",216
"57c0b4480a58f600011a2264","younger",8,4,"ARTIST","ARTIST",TRUE,3.265,3,4,"daisy","new-new",216
"57c0b4480a58f600011a2264","younger",9,1,"NATION","NATION",TRUE,3.865,2,1,"gorilla","old-new",217
"57c0b4480a58f600011a2264","younger",9,2,"JUNGLE","JUNGLE",TRUE,3.05,0,2,"razor","mis-match",217
"57c0b4480a58f600011a2264","younger",9,3,"BOYS","BOYS",TRUE,2.416,1,3,"pear","match",217
"57c0b4480a58f600011a2264","younger",9,4,"PRINCE","PRINCE",TRUE,2.882,3,4,"windmill","new-new",217
"57c0b4480a58f600011a2264","younger",10,1,"GIRL","GIRL",TRUE,3.049,3,1,"mirror","old-new",218
"57c0b4480a58f600011a2264","younger",10,2,"FAMILY","FAMILY",TRUE,3.198,0,2,"candle","mis-match",218
"57c0b4480a58f600011a2264","younger",10,3,"MILLER","MILLER",TRUE,2.166,1,3,"suitcase","match",218
"57c0b4480a58f600011a2264","younger",10,4,"SPEECH","SPEECH",TRUE,2.849,2,4,"backpack","new-new",218
"57c0b4480a58f600011a2264","younger",11,1,"ADVICE","ADVICE",TRUE,4.981,0,1,"calendar","mis-match",219
"57c0b4480a58f600011a2264","younger",11,2,"DIRT","DIRT",TRUE,1.983,1,2,"ring","old-new",219
"57c0b4480a58f600011a2264","younger",11,3,"ROOF","ROOF",TRUE,2.949,2,3,"basket","match",219
"57c0b4480a58f600011a2264","younger",11,4,"LOTS","LOTS",TRUE,1.899,3,4,"spoon","new-new",219
"57c0b4480a58f600011a2264","younger",12,1,"YEAR","YEAR",TRUE,3.048,2,1,"mushroom","new-new",220
"57c0b4480a58f600011a2264","younger",12,2,"BATH","BATH",TRUE,2.35,3,2,"skateboard","new-new",220
