"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"563f8474cbd4c6000fdc928b",1,"older",3,"YARD","SPEECH",FALSE,10.006545,2,3,"carrot","mis-match",1425
"563f8474cbd4c6000fdc928b",1,"older",4,"GAP","DIRT",FALSE,9.98894,1,4,"scissors","old-new",1425
"563f8474cbd4c6000fdc928b",2,"older",1,"KIND","KIND",TRUE,9.991,1,1,"candle","match",1426
"563f8474cbd4c6000fdc928b",2,"older",2,"","WEAPON",FALSE,10.00184,2,2,"cherry","new-new",1426
"563f8474cbd4c6000fdc928b",2,"older",3,"WOMEN","WOMEN",TRUE,9.99233,3,3,"microphone","old-new",1426
"563f8474cbd4c6000fdc928b",2,"older",4,"WRITER","WRITER",TRUE,9.996915,0,4,"cap","mis-match",1426
"563f8474cbd4c6000fdc928b",3,"older",1,"COPS","THING",FALSE,9.99562,0,1,"frame","old-new",1427
"563f8474cbd4c6000fdc928b",3,"older",2,"PRINCE","FOOD",FALSE,10.0002,1,2,"dart","new-new",1427
"563f8474cbd4c6000fdc928b",3,"older",3,"COPS","PRINCE",FALSE,9.99236,3,3,"peg","mis-match",1427
"563f8474cbd4c6000fdc928b",3,"older",4,"HOUSE","HOUSE",TRUE,10.001725,2,4,"mushroom","match",1427
"563f8474cbd4c6000fdc928b",4,"older",1,"MOMENT","APPLE",FALSE,9.99767,0,1,"dice","new-new",1428
"563f8474cbd4c6000fdc928b",4,"older",2,"MOMENT","MOMENT",TRUE,10.00129,1,2,"boot","old-new",1428
"563f8474cbd4c6000fdc928b",4,"older",3,"IDEAS","IDEAS",TRUE,9.997315,3,3,"coin","mis-match",1428
"563f8474cbd4c6000fdc928b",4,"older",4,"ROOF","ROOF",TRUE,9.992615,2,4,"rug","match",1428
"563f8474cbd4c6000fdc928b",5,"older",1,"ADVICE","ADVICE",TRUE,9.995465,0,1,"megaphone","new-new",1429
"563f8474cbd4c6000fdc928b",5,"older",2,"SAKE","SAKE",TRUE,9.998115,3,2,"motorbike","old-new",1429
"563f8474cbd4c6000fdc928b",5,"older",3,"IDEAS","DEMON",FALSE,9.99244,1,3,"telephone","mis-match",1429
"563f8474cbd4c6000fdc928b",5,"older",4,"AREA","AREA",TRUE,9.99493,2,4,"shovel","match",1429
"563f8474cbd4c6000fdc928b",6,"older",1,"NATION","NATION",TRUE,9.99752,3,1,"stamp","match",1430
"563f8474cbd4c6000fdc928b",6,"older",2,"TABLE","TOILET",FALSE,9.998185,2,2,"anchor","mis-match",1430
"563f8474cbd4c6000fdc928b",6,"older",3,"TABLE","BODY",FALSE,9.99823,0,3,"daisy","old-new",1430
"563f8474cbd4c6000fdc928b",6,"older",4,"PENNY","PENNY",TRUE,9.993745,1,4,"stool","new-new",1430
