"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id","distraction","interval","prev_assoc","ltm_intru","resp_type","tran_dist"
"56f55bc0736c79000c223b3d",8,"younger",4,"WEAPON","WEAPON",TRUE,1.74773,3,4,"boot","new-new",72,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",9,"younger",1,"SERIES","STYLE",FALSE,6.32682,3,1,"pawn","new-new",73,"no","2 s",NA,NA,"within",1
"56f55bc0736c79000c223b3d",9,"younger",2,"IDEAS","IDEAS",TRUE,2.579405,4,2,"candle","new-new",73,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",9,"younger",3,"FLESH","FLESH",TRUE,2.929425,1,3,"balcony","new-new",73,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",9,"younger",4,"SERIES","SERIES",TRUE,1.53143,2,4,"coin","new-new",73,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",10,"younger",1,"DEMON","DEMON",TRUE,3.22743,2,1,"salt","new-new",74,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",10,"younger",2,"FEET","FEET",TRUE,5.043955,4,2,"crown","old-new",74,"no","2 s","PILLS",0,"correct",NA
"56f55bc0736c79000c223b3d",10,"younger",3,"BATH","BATH",TRUE,1.87866,3,3,"daisy","mis-match",74,"no","2 s","RIVER",0,"correct",NA
"56f55bc0736c79000c223b3d",10,"younger",4,"GLASS","GLASS",TRUE,1.464275,1,4,"rug","match",74,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",11,"younger",1,"POLICY","POLICY",TRUE,3.4629,2,1,"frame","new-new",75,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",11,"younger",2,"?","DANGER",FALSE,3.912135,3,2,"skateboard","new-new",75,"no","2 s",NA,NA,"omission",NA
"56f55bc0736c79000c223b3d",11,"younger",3,"NATION","NATION",TRUE,1.579945,1,3,"pepper","new-new",75,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",11,"younger",4,"RECORD","RECORD",TRUE,1.331735,4,4,"sun","new-new",75,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",12,"younger",1,"ADVICE","BELT",FALSE,8.50503,2,1,"wheelbarrow","old-new",76,"no","2 s","HOTEL",0,"within",-1
"56f55bc0736c79000c223b3d",12,"younger",2,"?","ADVICE",FALSE,4.24386,3,2,"stamp","mis-match",76,"no","2 s","CASINO",0,"omission",NA
"56f55bc0736c79000c223b3d",12,"younger",3,"LOTS","LOTS",TRUE,1.24798,1,3,"microphone","match",76,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",12,"younger",4,"TEAR","TEAR",TRUE,1.24854,4,4,"calendar","new-new",76,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",13,"younger",1,"COPS","COPS",TRUE,1.96116,4,1,"pencil","match",77,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",13,"younger",2,"DOZEN","DOZEN",TRUE,1.814635,1,2,"basket","new-new",77,"no","2 s",NA,NA,"correct",NA
