"Words","Images","Cos","File"
"piper","leopard",-0.0557603411563413,"PICTURE_25"
"pizza","leopard",0.0628637148141644,"PICTURE_25"
"period","leopard",-0.00386935711744968,"PICTURE_25"
"person","leopard",0.0028540983516691,"PICTURE_25"
"path","leopard",0.0940938626114182,"PICTURE_25"
"peace","leopard",-0.0392688412193168,"PICTURE_25"
"owner","leopard",0.00413039772024226,"PICTURE_25"
"others","leopard",-0.0765000527397707,"PICTURE_25"
"outfit","leopard",0.0447567778585092,"PICTURE_25"
"ocean","leopard",-0.021217743500884,"PICTURE_25"
"office","leopard",-0.000814698679968746,"PICTURE_25"
"object","leopard",0.023024456932007,"PICTURE_25"
"night","leopard",-0.0314140497015212,"PICTURE_25"
"noise","leopard",0.0439789459726311,"PICTURE_25"
"none","leopard",-0.00490529675554119,"PICTURE_25"
"nature","leopard",-0.0998699857060034,"PICTURE_25"
"mood","leopard",0.0448256503227103,"PICTURE_25"
"mother","leopard",-0.0630367630273444,"PICTURE_25"
"minute","leopard",-0.101529578568357,"PICTURE_25"
"mister","leopard",-0.0729050106796083,"PICTURE_25"
"member","leopard",-0.0197371016918183,"PICTURE_25"
"mercy","leopard",0.0228788079561124,"PICTURE_25"
"maid","leopard",0.00193721991333817,"PICTURE_25"
"loss","leopard",0.0253425090517471,"PICTURE_25"
"lover","leopard",0.0639978407835064,"PICTURE_25"
"luck","leopard",0.00672823198047203,"PICTURE_25"
"lesson","leopard",0.0402254171280695,"PICTURE_25"
"liar","leopard",-0.180309919481541,"PICTURE_25"
"lily","leopard",0.0822234394854088,"PICTURE_25"
"lips","leopard",0.00457284565335531,"PICTURE_25"
"lady","leopard",0.075075495562252,"PICTURE_25"
"lake","leopard",0.0148453880740646,"PICTURE_25"
"leader","leopard",0.0796645836453481,"PICTURE_25"
"juice","leopard",-0.0401170719920407,"PICTURE_25"
"killer","leopard",0.0273215102503258,"PICTURE_25"
"kind","leopard",0.0030241709799504,"PICTURE_25"
"kitty","leopard",-0.0852158165671583,"PICTURE_25"
"island","leopard",-0.0209293048380112,"PICTURE_25"
"horn","leopard",0.181460847515083,"PICTURE_25"
"hour","leopard",-0.0245340664876214,"PICTURE_25"
"hero","leopard",0.0259041417329479,"PICTURE_25"
"hill","leopard",-0.113779986783589,"PICTURE_25"
"haven","leopard",0.0287974533757751,"PICTURE_25"
"health","leopard",0.00461999506739866,"PICTURE_25"
"hearts","leopard",0.0626724044911887,"PICTURE_25"
"guest","leopard",0.0492796484913115,"PICTURE_25"
"hair","leopard",0.0562714756588469,"PICTURE_25"
"genius","leopard",0.0126387566450983,"PICTURE_25"
"ghost","leopard",0.0100901858824844,"PICTURE_25"
"gift","leopard",0.00782606860441889,"PICTURE_25"
"glory","leopard",-0.0407664408223622,"PICTURE_25"
"fact","leopard",-0.0913120081484971,"PICTURE_25"
"fate","leopard",0.0170545637246646,"PICTURE_25"
"expert","leopard",-0.00219601269187127,"PICTURE_25"
"event","leopard",0.00244016512744138,"PICTURE_25"
"excuse","leopard",-0.0336454057356203,"PICTURE_25"
"energy","leopard",0.00176541667859621,"PICTURE_25"
"engine","leopard",-0.0177255927295524,"PICTURE_25"
"dude","leopard",-0.0265098262844836,"PICTURE_25"
"duke","leopard",0.122703760529607,"PICTURE_25"
"duty","leopard",0.000155501474092185,"PICTURE_25"
"earl","leopard",-0.00899115028054341,"PICTURE_25"
"ears","leopard",0.0193525151128868,"PICTURE_25"
"desert","leopard",0.0717039118215633,"PICTURE_25"
"desk","leopard",-0.1285353445416,"PICTURE_25"
"devil","leopard",-0.142794227274701,"PICTURE_25"
"demon","leopard",0.0687647276484827,"PICTURE_25"
"data","leopard",0.0344972274433944,"PICTURE_25"
"days","leopard",0.0709157193831105,"PICTURE_25"
"dean","leopard",0.07801113910589,"PICTURE_25"
"death","leopard",-0.089238412905501,"PICTURE_25"
"daddy","leopard",-0.0808658166996381,"PICTURE_25"
"county","leopard",-0.0599367939545767,"PICTURE_25"
"couch","leopard",-0.046538771991979,"PICTURE_25"
"coffee","leopard",-0.00919707464300677,"PICTURE_25"
"cole","leopard",-0.0676017627355834,"PICTURE_25"
"cliff","leopard",0.0404378128197645,"PICTURE_25"
"chest","leopard",-0.00947681064294832,"PICTURE_25"
"chick","leopard",-0.0266398546944242,"PICTURE_25"
"child","leopard",-0.00858803082437051,"PICTURE_25"
"choice","leopard",-0.0363006925632693,"PICTURE_25"
"cell","leopard",0.0171066063569904,"PICTURE_25"
"card","leopard",-0.00216391177039267,"PICTURE_25"
"castle","leopard",0.00439666574334544,"PICTURE_25"
"cage","leopard",0.226518624500389,"PICTURE_25"
"cancer","leopard",0.0220040180405968,"PICTURE_25"
"buddy","leopard",0.0318875784434707,"PICTURE_25"
"bull","leopard",0.129676404616981,"PICTURE_25"
"booth","leopard",-0.0873150444253991,"PICTURE_25"
"breath","leopard",-0.0359103534628115,"PICTURE_25"
"blood","leopard",-0.0327106552632418,"PICTURE_25"
"boat","leopard",-0.0523733689020509,"PICTURE_25"
"bell","leopard",-0.048946091486298,"PICTURE_25"
"bird","leopard",0.0444527279604065,"PICTURE_25"
"birth","leopard",-0.034255170850775,"PICTURE_25"
"beach","leopard",-0.0788145186095844,"PICTURE_25"
"beast","leopard",0.226381478752903,"PICTURE_25"
"ball","leopard",0.0608757563635758,"PICTURE_25"
"anyone","leopard",0.0253996175667832,"PICTURE_25"
"area","leopard",0.0559097564416753,"PICTURE_25"
"angel","leopard",0.00431162910816929,"PICTURE_25"
"animal","leopard",0.372329129893702,"PICTURE_25"
"action","leopard",-0.0182666197625368,"PICTURE_25"
"advice","leopard",0.0216289065770204,"PICTURE_25"
"affair","leopard",0.0180779816326628,"PICTURE_25"
"zone","microscope",-0.0675152630026856,"PICTURE_28"
"wood","microscope",-0.0199911191879756,"PICTURE_28"
"word","microscope",0.0086401172977457,"PICTURE_28"
"world","microscope",0.020120356855846,"PICTURE_28"
"writer","microscope",-0.0266380336728005,"PICTURE_28"
"yard","microscope",0.0224699609709919,"PICTURE_28"
"witch","microscope",0.0450668814022673,"PICTURE_28"
"wallet","microscope",0.0231691693972882,"PICTURE_28"
"walls","microscope",-0.0120729787754384,"PICTURE_28"
"week","microscope",0.0276420549566064,"PICTURE_28"
"victim","microscope",0.0293505358234084,"PICTURE_28"
"vision","microscope",0.0253215822022635,"PICTURE_28"
"valley","microscope",-0.0114722585251453,"PICTURE_28"
"unit","microscope",0.0785285613907732,"PICTURE_28"
"union","microscope",0.00764171919879065,"PICTURE_28"
"turkey","microscope",-0.00748524988440292,"PICTURE_28"
"tree","microscope",-0.0517965166787635,"PICTURE_28"
"truth","microscope",-0.0441024000954722,"PICTURE_28"
"town","microscope",0.0304626567061273,"PICTURE_28"
"threat","microscope",0.00345450459377829,"PICTURE_28"
"teeth","microscope",-0.0131118993831839,"PICTURE_28"
"theory","microscope",-0.00024024893437855,"PICTURE_28"
"thief","microscope",0.0622196820244329,"PICTURE_28"
"talent","microscope",-0.0289106964352348,"PICTURE_28"
"story","microscope",0.0361721786887726,"PICTURE_28"
"style","microscope",-0.00966704372343317,"PICTURE_28"
"squad","microscope",0.0369713586491843,"PICTURE_28"
"sister","microscope",0.0351507458959815,"PICTURE_28"
"season","microscope",-0.0203521807387673,"PICTURE_28"
"safety","microscope",-0.0264351299595383,"PICTURE_28"
"sake","microscope",0.0159011109826404,"PICTURE_28"
"robin","microscope",-0.0343415901929898,"PICTURE_28"
"roof","microscope",-0.0530605864919155,"PICTURE_28"
"radar","microscope",-0.0376552731497586,"PICTURE_28"
"punk","microscope",-0.0362581275376564,"PICTURE_28"
"potter","microscope",-7.24384610026507e-05,"PICTURE_28"
"piper","microscope",0.0484022824814032,"PICTURE_28"
"pizza","microscope",0.0129392798083767,"PICTURE_28"
"period","microscope",0.000122299474893692,"PICTURE_28"
"person","microscope",0.0483507560806059,"PICTURE_28"
"path","microscope",-0.0326165390619687,"PICTURE_28"
"peace","microscope",0.0172995677483937,"PICTURE_28"
"owner","microscope",0.0109314161847142,"PICTURE_28"
"others","microscope",0.056112167191605,"PICTURE_28"
"outfit","microscope",0.0725158183125932,"PICTURE_28"
"ocean","microscope",-0.0172525111606256,"PICTURE_28"
"office","microscope",0.000983993941563448,"PICTURE_28"
"object","microscope",0.0894325415591272,"PICTURE_28"
"night","microscope",0.0105382528561557,"PICTURE_28"
"noise","microscope",-0.0422671521693318,"PICTURE_28"
"none","microscope",0.040757261256912,"PICTURE_28"
"nature","microscope",-0.0804886080612984,"PICTURE_28"
"mood","microscope",-0.000763877096548733,"PICTURE_28"
"mother","microscope",-0.0176606407569119,"PICTURE_28"
"minute","microscope",-0.0603810073676872,"PICTURE_28"
"mister","microscope",0.015395918636773,"PICTURE_28"
"member","microscope",-0.0680590281980317,"PICTURE_28"
"mercy","microscope",0.00778395190165514,"PICTURE_28"
"maid","microscope",-0.0297434156190616,"PICTURE_28"
"loss","microscope",-0.00946288700656567,"PICTURE_28"
"lover","microscope",-0.0320047172460181,"PICTURE_28"
"luck","microscope",0.0181183988801523,"PICTURE_28"
"lesson","microscope",-0.0650059467292581,"PICTURE_28"
"liar","microscope",-0.0313318051723986,"PICTURE_28"
"lily","microscope",0.000876024381402592,"PICTURE_28"
"lips","microscope",0.00171735858876693,"PICTURE_28"
"lady","microscope",-0.0236980315541119,"PICTURE_28"
"lake","microscope",0.0107979595206971,"PICTURE_28"
"leader","microscope",0.00312347005212573,"PICTURE_28"
"juice","microscope",-0.0515249973358835,"PICTURE_28"
"killer","microscope",0.0516192899104614,"PICTURE_28"
"kind","microscope",-0.000840960220979171,"PICTURE_28"
"kitty","microscope",-0.0632742916529387,"PICTURE_28"
"island","microscope",-0.0284422452674797,"PICTURE_28"
"horn","microscope",-0.00257841960630578,"PICTURE_28"
"hour","microscope",-0.0296027162835494,"PICTURE_28"
"hero","microscope",-0.030674282585082,"PICTURE_28"
"hill","microscope",0.0149423893332007,"PICTURE_28"
"haven","microscope",-0.00073984172536879,"PICTURE_28"
"health","microscope",-0.0134644485558279,"PICTURE_28"
"hearts","microscope",0.0403216016053053,"PICTURE_28"
"guest","microscope",-0.00731821895002405,"PICTURE_28"
"hair","microscope",0.00188004050631393,"PICTURE_28"
"genius","microscope",0.000424592594826661,"PICTURE_28"
"ghost","microscope",-0.0115269026759192,"PICTURE_28"
"gift","microscope",-0.041753545162859,"PICTURE_28"
"glory","microscope",-0.0180184226937503,"PICTURE_28"
"fact","microscope",-0.0542632347351569,"PICTURE_28"
